,places,longitude,latitude
412,Hellerud,10.8298389,59.9100673
413,Hellesylt,6.8696967,62.085337
414,Hellvik,10.6911815,59.8444877
415,Hem,10.1969715,59.0709883
416,Hemne,9.07932910526316,63.2872965
417,Hemnes,14.142850886712063,66.01135455
418,Hemnesberget,13.6066754,66.224837
419,Hemsedal,8.383486929952534,60.928243699999996
420,Henningsvær,14.2007245,68.152888
421,Hermansverk,6.8521849,61.1828937
422,Herøy,5.2930882011715825,62.4390366
423,Herøysund,5.798846,59.9234537
424,Herre,9.5625212,59.1033623
425,Hesseng,29.9973303,69.6868198
426,Hestvika,9.1956069,63.5667052
427,Hitra,8.693911425517566,63.56532465
428,Hjelmeland,6.406204196828469,59.203514
429,Hjelmelandsvågen,6.1796864,59.2367398
430,Hjelset,7.4974714,62.7814324
431,Hjørungavåg,6.0629447,62.3471684
432,Hjukse,9.3259,59.5038
433,Hobøl,11.1731714,59.7732322
434,Hoelsand,8.63085,62.66221
435,Hof,10.0883162,59.530321
436,Hoffland,6.1966553,62.4950058
437,Hognesaunet,10.9607027,63.4589056
438,Hogsetfeltet,11.3631432,59.97749
439,Hokksund,9.9107409,59.7672653
440,Hol,8.022360477715747,60.603684900000005
441,Hole,10.302044003584083,60.04163175
442,Høle,10.302044003584083,60.04163175
443,Hølen,10.7423942,59.5399008
444,Holevik,4.9941683,61.4206626
445,Høllen,7.8085966,58.0786117
446,Hollingen,6.9929698,62.7787276
447,Holme,5.156994,60.5300498
448,Holmestrand,10.153170199116143,59.5591252
449,Holmsbu,10.4276243,59.5601943
450,Holtålen,11.359567642911351,62.865391900000006
451,Hommelstø,12.5516302,65.4073265
452,Hommelvik,10.795811,63.4113975
453,Hommersåk,5.8488049,58.9297144
454,Hønefoss,10.255486,60.1662082
455,Honningsvåg,25.977841,70.9802638
456,Hordaland,6.5835956,59.9481063
457,Hordnes,5.3073909,60.262912
458,Hornindal,6.5250604,61.9743535
459,Hornnes,7.771412,58.5538998
460,Horten,10.443739186052063,59.4101728
461,Hov,6.069573615534042,62.17846935
462,Høvåg,8.2445469,58.1716336
463,Hovden,6.069573615534042,62.17846935
464,Hovdenakken,5.9447746,62.3399761
465,Hovin,10.2241132,63.1055604
466,Høyanger,5.814139388881717,61.1254821
467,Høyjord,10.1206389,59.555275
468,Høylandet,12.36145476467382,64.7562159
469,Høysand,11.1905161,59.1916329
470,Hundorp,9.9403522,61.5552602
471,Hunn,11.7628065,64.4636494
472,Hurdal,10.975961488579873,60.4270172
473,Hurum,10.4791527,63.4400166
474,Husnes,5.7563039,59.8609617
475,Husøy,10.4635867,59.2389718
476,Hvaler,10.782005384155639,58.947530799999996
477,Hvasser,10.4435673,59.0804612
478,Hvitsten,11.095578177429175,59.07803265
479,Hvittingfoss,10.0117366,59.4857217
480,Hyggen,10.3691838,59.7163677
481,Hylla,11.3876519,63.8414996
482,Ibestad,17.15228185134577,68.8483081
483,Ikornnes,6.5554555,62.3847263
484,Ilhaugen,10.1492428,63.3014405
485,Ilseng,11.2220867,60.7751068
486,Inderøy,11.09264475092375,63.84991645
487,Ingeberg,11.1340569,60.8277791
488,Innbygda,11.0863017,63.2423918
489,Inndyr,14.0265019,67.0352399
490,Innfjorden,7.5668545,62.4985434
492,Innvik,6.6151452,61.8521038
493,Ise,11.2203472,59.3004709
494,Isebakke,11.308589,59.1145948
495,Isfjorden,14.813061349032353,78.2750033
496,Jæren,11.2762235,60.1854688
497,Jansberg,11.3475527,59.5184668
498,Jaren,10.5557772,60.3929443
499,Jelsnes,11.7816547,60.2352174
500,Jessheim,11.1751516,60.1415121
501,Jevnaker,10.408457856495165,60.28255445
502,Jølster,6.094885170781011,61.473610699999995
503,Jondal,6.2522294,60.2756458
504,Jørpeland,6.0393553,59.0208917
505,Jørstadmoen,10.3848109,61.1455355
506,Jortveit,7.7504072,58.5753513
507,Judaberg,5.8763012,59.172017
508,Kabelvåg,14.4773789,68.2101202
509,Kåfjord,20.72717161808157,69.4973215
510,Kåfjordbotn,20.8083373,69.4977505
511,Kaland,5.4174139,60.275825
512,Kalvåg,4.8789988,61.7667615
513,Kampå,11.3916945,60.2172583
514,Kampen,10.7802475,59.9127314
515,Kapp,10.8578361,60.7143314
516,Karasjok,25.5111384,69.4718736
518,Karlestrand,9.776386,63.768755
519,Karlshus,10.8723765,59.3517216
520,Karlsøy,19.189778958544373,70.24516525
521,Karmøy,5.214685957796417,59.34339865
522,Kårvåg,7.4448732,63.0137169
523,Kaupanger,7.2449657,61.1841967
524,Kautokeino,23.57829982232755,69.1325609
525,Kil,9.3021987,58.8909462
526,Kilsund,8.9726468,58.5521972
527,Kinsarvik,6.7196524,60.3757875
528,Kirkebygda,10.3916872,59.1149169
529,Kirkebygden,10.8630454,59.4897509
530,Kirkegrenda,10.7270952,59.3766327
531,Kirkenær,12.058381,60.4563525
532,Kirkenes,30.0448971,69.7271478
533,Kirkevoll,8.2154,60.5236695
534,Kjellmyra,12.038723,60.6464832
535,Kjøllefjord,27.3510542,70.9456658
537,Kjøpstad,14.2578217,67.0675341
538,Kjøpsvik,16.3786373,68.0973005
539,Kjørnes,7.1275161,61.2110278
540,Kjosen,9.0162129,59.1520272
541,Klæbu,10.527307798942669,63.25052985
542,Kleive,7.6374506,62.7951367
543,Klepp,5.354318419705924,58.7326787
544,Kleppe,5.6293516,58.774243
545,Klevjer,10.2033889,59.6445444
546,Kløfta,11.1391499,60.0753432
547,Klokkarstua,10.4591059,59.613792
548,Klokkarvik,5.1553728,60.2226984
549,Knappskog,5.0559262,60.3791935
550,Knarrevik,8.0612304,58.1379347
551,Knarvik,5.285399,60.5461492
552,Kodal,10.1384331,59.2143828
553,Kolbu,10.7447564,60.6503319
554,Kolnes,5.3729766,59.3890919
555,Kolvereid,11.6027053,64.8647037
556,Konglungen,10.5097042,59.8393771
557,Kongsberg,9.670860075643745,59.594550049999995
558,Kongsvinger,12.216023065279844,60.1899109
559,Kopervik,5.3066975,59.2835845
560,Koppang,11.0499925,61.5710031
561,Korgen,13.8218815,66.0765918
562,Korsvegen,10.1004055,63.1600986
563,Korsvik,8.0802333,58.1418389
564,Kragerø,9.4142145,58.8696217
565,Kråkstad,10.8909032,59.6833949
566,Kristiania,10.7389701,59.9133301
567,Kristiansand,7.93185802875815,58.085627599999995
569,Kristiansund,7.545258996501891,63.216819400000006
570,Krøderen,9.639664973785095,60.25430635
571,Krødsherad,9.671514167017413,60.1924956
573,Kroksund,10.2969919,60.0663285
574,Krossberg,5.6486961,58.9661104
575,Krossen,6.1106578,59.0722836
576,Krossneset,7.8370306,58.0684333
577,Kvæfjord,16.092226315711375,68.6875552
578,Kvænangen,22.057103761329003,69.85949615000001
579,Kvål,10.2815184,63.2314354
580,Kvaløysletta,18.8619905,69.6901726
581,Kvalsund,5.6006175,62.3449173
582,Kvam,11.4824104,64.0337691
583,Kvelde,9.9688646,59.1922104
584,Kvernaland,5.721074,58.778965
585,Kvinesdal,6.9539610197038755,58.51813075
586,Kvinnherad,6.032514050433982,59.95317235
587,Kviteseid,8.482792379508197,59.409653950000006
588,Kvithammer,10.8736552,63.4900989
589,Kvitsøy,5.281312509491724,59.00841925
590,Kylstad,11.0425364,60.8734314
591,Kyrkjebø,5.9047815,61.1633035
592,Kyrksæterøra,9.0888635,63.2907955
594,Lærdal,7.8032867220845485,61.03861345
595,Lærdalsøyri,7.4825328,61.0987561
596,Lakselv,24.9606571,70.0524983
597,Laksevåg,5.2925722,60.3876083
598,Lalm,9.275133,61.8177312
599,Lampeland,9.5803482,59.8350302
600,Land,9.8743057,60.2340258
601,Landås,5.371952354440231,60.3615283
602,Langangen,9.8037016,59.0884715
603,Langesund,9.7484437,59.000697
604,Langevåg,6.1908603,62.4405047
605,Langhaugane,6.5913195,62.536075
606,Langørjan,10.1734715,63.6293819
607,Langset,11.2425854,60.4038691
608,Lardal,8.1839628,59.4246434
609,Larkollen,10.6702747,59.330383
610,Larsnes,5.5716078,62.2068371
611,Larvik,10.021929959972812,59.0967308
612,Lauve,10.049475,59.1323278
613,Lauvsnes,10.8949966,64.4997433
614,Lavangen,17.816274754930678,68.71698319999999
615,Lebesby,26.81282352172304,70.6657291
616,Leikanger,6.8067653,61.1856189
617,Leikong,5.7814561,62.2476391
618,Lein,11.6908534,64.0823375
619,Leinstrand,10.308343,63.3280212
620,Leira,11.0911548,59.9485444
621,Leirfjord,12.977239735776369,66.09627735000001
622,Leirsund,11.0870456,59.9999567
623,Leirvik,5.5005712,59.7809398
624,Leitebakk,6.0318698,62.4796278
625,Leknes,13.6115311,68.1474646
626,Leksvik,10.6232322,63.6727318
627,Leland,12.9433171,66.0639866
628,Lena,10.8134458,60.6739717
629,Lensbygda,10.8414668,60.6446251
630,Lenvik,18.1584412,69.4444763
631,Ler,10.302245,63.1976713
632,Lervik,10.7461669,59.2710902
633,Levanger,11.223880440465752,63.696451800000006
634,Li,28.2395272,-25.7589265
635,Lia,13.014658,66.6009233
636,Lier,10.211552530640098,59.84531345
637,Lierne,13.59973671660904,64.42101065
638,Liknes,6.9617919,58.3116822
639,Liland,16.8890999,68.4808958
640,Lillehammer,10.4670073,61.1145451
641,Lillesand,8.440325744249662,58.1161123
642,Lillestrøm,11.0491122,59.9559239
643,Lindås,5.1614412,60.7363494
644,Lindeberg,10.882706,59.9331552
645,Lindesnes,7.383195598569651,58.116131249999995
646,Linnestad,10.6947927,59.6397201
647,Lister,6.8046286,58.0945526
648,Lodalen,10.7788075,59.9041972
649,Loddefjord,5.2331114,60.361483
650,Løding,14.744898,67.2971009
651,Lødingen,15.609655745604854,68.3944357
652,Lofoten,13.680940656585705,68.20239194999999
653,Lofthus,6.6590809,60.3257558
654,Løiten Brænderi,11.3054114,60.8264314
655,Løken,11.4657623,59.7956824
656,Løkenfeltet,11.0416539,60.1379608
657,Løkken Verk,9.7053282,63.1257479
658,Lom,8.425897734173628,61.7142578
659,Lommedalen,10.4690248,59.9685301
660,Lonevåg,5.4956333,60.5255611
661,Longum,8.7776172,58.5089408
662,Loppa,21.43540533967742,70.3996274
663,Løpsmarka,14.45122508783496,67.31504275
664,Lørenfallet,11.2262164,60.0211283
665,Lørenskog,10.966914823844895,59.8970034
666,Løstad,9.6830216,63.6176186
667,Løten,11.372851280304207,60.865275350000005
668,Lovund,12.3643502,66.3689944
669,Lund,6.457286920803609,58.46402055
670,Lundamo,10.2852658,63.1520254
671,Lundermoen,11.1499456,60.0096095
672,Lunner,10.6664934222367,60.235060149999995
673,Lurøy,12.69973802349364,66.4378018
674,Luster,7.5692148601594855,61.518948449999996
675,Lyefjell,5.7357096,58.7327519
676,Lyngdal,7.0523045432054,58.1516995
677,Lyngen,20.081766136112186,69.72971205
678,Lyngseidet,20.2190704,69.5762575
679,Lysøysund,9.870303,63.884934
680,Lysthaugen,11.6219146,63.7614715
681,Mære,11.4273853,63.9379617
682,Magnor,12.2016746,59.9509602
683,Majorstuen,10.7155691,59.9292711
